City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,sandnessjoen,66.0217,12.6316,8.29,94,97,1.34,NO,1683855865
229,vinton,37.281,-79.897,24.38,59,20,2.57,US,1683800080
230,selfoss,63.9331,-20.9971,8.36,93,100,11.08,IS,1683865327
231,tralee,52.2704,-9.7026,9.22,97,27,2.73,IE,1683866949
232,trujillo,-8.116,-79.03,22.98,83,92,3.6,PE,1683803973
233,kailua-kona,19.6406,-155.9956,28.98,86,40,6.69,US,1683820210
234,correntina,-13.3433,-44.6367,25.58,52,100,1.27,BR,1683796133
235,ust'-ilimsk,58.0006,102.6619,7.26,43,100,3.78,RU,1683838366
236,ravar,31.2656,56.8055,22.63,23,1,1.03,IR,1683854367
237,harnai,30.1005,67.9374,27.24,14,2,1.88,PK,1683851825
238,plastun,44.7561,136.2939,12.06,62,0,2.79,RU,1683833462
239,atafu village,-8.5421,-172.5159,28.85,77,89,5.46,TK,1683912854
240,victoria falls,-17.9235,25.843,15.87,55,3,1.06,ZW,1683866012
241,gorgan,36.8387,54.4348,19.75,64,52,1.27,IR,1683854264
242,yarmouth,41.7057,-70.2286,18.03,75,20,3.6,US,1683797143
243,tadine,-21.55,167.8833,23.55,69,100,8.38,NC,1683832229
244,saint-felicien,48.6501,-72.4491,15.67,52,34,1.36,CA,1683796478
245,colonia,50.9333,6.95,13.87,92,75,2.06,DE,1683863269
246,nyandoma,61.669,40.1991,7.9,74,100,2.24,RU,1683851861
247,zalingei,12.9096,23.4741,26.63,47,97,2.03,SD,1683864107
248,northam,51.0333,-4.2167,9.66,90,9,2.01,GB,1683865924
249,santarem,-2.4431,-54.7083,24.0,94,50,1.1,BR,1683797694
250,initao,8.4997,124.3039,28.8,72,99,1.23,PH,1683840273
251,oranjemund,-28.55,16.4333,13.43,84,100,9.23,NA,1683869249
252,ilulissat,69.2167,-51.1,-2.99,93,100,7.72,GL,1683781735
253,sogndal,61.2283,7.1003,10.21,81,100,0.0,NO,1683859992
254,sydney mines,46.2367,-60.2177,8.0,55,40,3.09,CA,1683794000
255,san mariano,7.5,126.0,26.57,83,91,0.67,PH,1683839946
256,vandalia,39.8906,-84.1988,26.03,43,100,2.06,US,1683800758
257,tofol,5.3248,163.0078,30.88,74,75,1.54,FM,1683831237
258,ust-nera,64.5667,143.2,4.63,60,98,1.36,RU,1683825624
259,missoula,47.0166,-113.8009,15.22,39,57,2.73,US,1683806707
260,janauba,-15.8025,-43.3089,24.54,45,88,0.07,BR,1683796015
261,isangel,-19.55,169.2667,26.04,68,99,6.37,VU,1683831721
262,freetown,8.484,-13.2299,26.84,83,75,4.12,SL,1683873278
263,decin,50.7822,14.2148,13.37,69,99,1.42,CZ,1683861562
264,fort st. john,56.2499,-120.8529,21.2,29,60,3.31,CA,1683806223
265,windhoek,-22.5594,17.0832,18.11,31,100,3.09,NA,1683868523
266,turinskaya sloboda,57.6232,64.3858,0.63,60,0,2.16,RU,1683847667
267,mart'vili,42.4144,42.3792,12.03,93,98,1.27,GE,1683856364
268,farkhar,36.5729,69.8578,18.32,45,99,1.12,AF,1683850600
269,segezha,63.7415,34.3222,5.82,87,4,1.78,RU,1683852192
270,cockburn town,21.4612,-71.1419,26.88,78,28,5.74,TC,1683799686
271,tura,25.5198,90.2201,24.61,57,7,1.28,IN,1683846956
272,puerto san jose,13.9256,-90.8244,30.27,66,31,4.57,GT,1683805066
273,ulsteinvik,62.3432,5.8487,10.5,95,100,0.45,NO,1683859763
274,kayangel,8.0823,134.7173,28.73,72,67,1.26,PW,1683837807
275,luanda,-8.8368,13.2343,24.87,93,4,3.31,AO,1683868293
276,greymouth,-42.4667,171.2,12.04,46,14,1.34,NZ,1683833737
277,swakopmund,-22.6833,14.5333,14.43,88,100,2.24,NA,1683869146
278,bowen,-20.0167,148.2333,24.11,69,22,8.18,AU,1683836811
279,konarka,19.9,86.1167,28.22,92,100,2.22,IN,1683848471
280,obo,5.3998,26.4869,20.58,97,88,1.72,CF,1683863994
281,sibolga,1.7427,98.7792,25.47,86,88,1.77,ID,1683846932
282,waounde,15.2637,-12.8682,36.33,15,82,3.12,SN,1683872629
283,kilindoni,-7.9139,39.6668,26.82,78,11,4.07,TZ,1683861875
284,kubinka,55.5839,36.69,7.0,86,57,2.28,RU,1683854945
285,beira,-19.8436,34.8389,20.52,92,1,2.78,MZ,1683864018
286,bucerias,20.75,-105.3333,28.99,65,0,6.17,MX,1683807954
287,dzilam gonzalez,21.2833,-88.9333,33.84,38,85,4.76,MX,1683803971
288,ciudad rodrigo,40.6,-6.5333,7.11,72,0,3.23,ES,1683868368
289,totness,5.8833,-56.3167,25.05,90,98,3.39,SR,1683797434
290,pathein,16.7833,94.7333,24.9,94,100,2.49,MM,1683846680
291,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,65,75,4.0,RU,1683826401
292,fuling,29.7022,107.3919,17.38,93,98,1.46,CN,1683842404
293,pursat,12.3333,103.6667,26.39,83,88,0.71,KH,1683844913
294,pisco,-13.7,-76.2167,21.03,78,100,4.63,PE,1683803742
295,paka,4.6374,103.4368,25.96,94,40,0.0,MY,1683845587
296,rudnyy,52.9594,63.1206,2.13,45,94,3.4,KZ,1683849322
297,vilyuysk,63.7553,121.6247,3.79,45,2,2.41,RU,1683831278
298,mao,39.8885,4.2658,14.31,77,20,2.06,ES,1683865882
299,san fernando,15.0286,120.6898,29.85,70,63,2.63,PH,1683840602
300,menaka,15.9182,2.4022,33.63,10,40,2.81,ML,1683868909
301,rawson,-43.3002,-65.1023,16.67,49,45,2.71,AR,1683804148
302,recani,31.2846,-4.2688,27.31,20,42,8.29,MA,1683869015
303,brookings,44.3114,-96.7984,24.54,65,0,6.17,US,1683803104
304,saldanha,-33.0117,17.9442,10.03,68,90,11.35,ZA,1683869356
305,carnarvon,-24.8667,113.6333,22.2,52,0,2.34,AU,1683845555
306,boende,-0.2167,20.8667,22.89,83,79,0.71,CD,1683865784
307,chonchi,-42.6128,-73.8092,12.84,95,100,1.54,CL,1683806139
308,poso,-1.3959,120.7524,26.19,84,100,1.5,ID,1683841903
309,prosser,46.2068,-119.7689,26.61,29,9,0.89,US,1683808285
310,manado,1.487,124.8455,29.43,79,40,1.54,ID,1683840696
311,roccella ionica,38.322,16.4009,15.12,78,10,4.15,IT,1683863190
312,san patricio,28.017,-97.5169,29.05,77,52,6.55,US,1683805377
313,sao felix do xingu,-6.6447,-51.995,24.6,76,68,0.21,BR,1683797369
314,northport,33.229,-87.5772,23.96,73,100,3.09,US,1683802421
315,torres vedras,39.0911,-9.2586,16.49,80,1,0.89,PT,1683869238
316,korla,41.7597,86.1469,16.92,19,36,2.7,CN,1683845968
317,sola,-13.8833,167.55,26.99,76,37,11.88,VU,1683831658
318,mary,37.0,62.5,21.47,44,66,2.71,TM,1683852309
319,pacific grove,36.6177,-121.9166,20.69,75,75,5.66,US,1683810244
320,nelson bay,-32.7167,152.15,17.84,82,6,1.79,AU,1683837098
321,laguna,38.421,-121.4238,27.19,33,0,3.6,US,1683809889
322,aral,40.5156,81.2636,17.15,9,51,4.45,CN,1683847324
323,laojunmiao,39.8333,97.7333,12.24,18,0,3.15,CN,1683843473
324,newport,51.5877,-2.9984,11.68,91,48,4.26,GB,1683865504
325,gamba,-2.65,10.0,25.27,94,69,2.1,GA,1683868582
326,al fuwayliq,26.4432,43.2534,27.55,7,17,5.05,SA,1683858131
327,lerwick,60.1545,-1.1494,8.0,91,3,3.25,GB,1683862431
328,lhasa,29.65,91.1,4.16,68,100,1.25,CN,1683846318
329,la trinite,14.7376,-60.9629,26.58,41,20,2.06,MQ,1683797833
330,ciudad lazaro cardenas,17.9583,-102.2,28.69,70,86,4.7,MX,1683807451
331,klyavlino,54.2649,52.0267,9.02,60,100,4.44,RU,1683851641
332,porto novo,6.4965,2.6036,29.9,83,52,2.32,BJ,1683869638
333,egilsstadir,65.2653,-14.3948,7.95,76,0,8.23,IS,1683862890
334,wankyi,7.7392,-2.1046,24.83,87,27,2.59,GH,1683870668
335,san juan bautista,-14.0108,-75.7358,21.36,67,3,2.4,PE,1683803652
336,st. john's,47.5649,-52.7093,5.71,59,29,1.34,CA,1683791956
337,ndele,8.4109,20.6473,24.35,73,96,0.21,CF,1683865154
338,dubbo,-32.25,148.6167,14.07,77,75,3.6,AU,1683837895
339,castillos,-34.1667,-53.8333,15.06,52,95,2.54,UY,1683800275
340,san juan de miraflores,-12.1629,-76.9635,21.29,79,97,3.4,PE,1683803797
341,belyy yar,53.6039,91.3903,7.94,87,0,4.0,RU,1683842381
342,phongsali,21.6833,102.1058,16.84,96,76,0.54,LA,1683844472
343,codrington,-38.2667,141.9667,14.19,75,94,3.88,AU,1683840192
344,lihue,21.9789,-159.3672,26.58,73,53,3.84,US,1683820806
345,abra pampa,-22.7205,-65.697,11.61,15,3,1.0,AR,1683801983
346,wabag,-5.4781,143.7021,20.45,61,80,1.42,PG,1683836713
347,kandi,11.1342,2.9386,27.46,65,100,2.13,BJ,1683869182
348,magong,23.5654,119.5863,23.43,85,100,6.26,TW,1683840101
349,kiama,-34.6833,150.8667,21.25,74,1,0.45,AU,1683837625
350,sant lluis,39.8526,4.2594,14.22,77,20,2.06,ES,1683865888
351,namdrik,5.5994,168.1028,26.37,87,100,6.27,MH,1683829993
